BCHAIN-ATRCT,BCHAIN-MWNUS,BCHAIN-DIFF,BCHAIN-MWNTD,BCHAIN-MWTRV,BCHAIN-AVBLS,BCHAIN-ETRAV,BCHAIN-BLCHS,BCHAIN-TOUTV,BCHAIN-NADDU,BCHAIN-NTRBL,BCHAIN-NTREP,BCHAIN-HRATE,BCHAIN-MIREV,BCHAIN-NTRAT,BCHAIN-CPTRA,BCHAIN-TRVOU,BCHAIN-CPTRV,BCHAIN-ETRVU,BCHAIN-TRFUS,BCHAIN-NTRAN,BCHAIN-TRFEE,BCHAIN-TOTBC,BCHAIN-MKTCP,BCHAIN-MKPRU
7.433333333,22900216,2.60787E+12,46362,95492.16115,1.067524459,286153.3403,155504.25,1914332.616,589896,1436,238351,24293141.32,17000620.93,298011427,72.07311859,3094258118,0.800015119,2199269651,1262518.878,244120,164.2699857,16850425,1.29506E+11,7685.633333
6.133333333,22877387,2.60308E+12,40852,76759.42607,1.10273347,257109.2993,155322.7709,1848912.715,486553,1169.52973,208757,23938939.78,16457612.31,297767307,78.58611514,1793319477,0.967008003,1758323361,1188364.088,216363,173.7675019,16848300,1.15222E+11,6838.816667
9.275,22847667,2.60308E+12,29618,43401.46945,0.990487949,193244.214,155118.7652,972248.5047,396694,975.7696629,165753,23033142.05,19061071.07,297550944,112.9996774,1080682795,1.208996973,1623376684,935132.4345,173687,111.3166981,16845987.5,1.41517E+11,8400.648333
10.475,22827172,2.60308E+12,37380,44026.55134,0.996566861,164374.0244,154942.4583,910042.4792,436196,1233.487342,184856,20445148.56,18561807.19,297377257,98.82475748,952403805,1.290914289,1491970146,1333616.101,194891,146.9277694,16843762.5,1.52885E+11,9076.678333
11.225,22799451,2.60308E+12,39185,78445.29309,1.022478524,330740.2192,154785.0008,1460796.38,551198,1404.27381,229894,21739145.31,20349747.21,297182366,89.59190155,2213436748,0.717893514,2944216908,2442348.73,235918,274.3625824,16841787.5,1.49924E+11,8901.901667
12.475,22775834,2.60308E+12,52539,83063.21521,1.053963175,276923.3207,154613.2244,2190613.275,591550,1610.4,249466,20703947.91,19329173.73,296946448,78.04964662,1509688358,0.799509243,2515366060,1944067.481,257664,214.0275449,16839687.5,1.52959E+11,9083.258333
15.675,22745401,2.60308E+12,33656,63559.56646,1.042831316,159867.3306,154444.5903,1785708.486,481100,1745.948718,197264,15139761.91,15840583.36,296688784,80.52914833,933239777.9,1.016284084,1618658854,1642340.305,204276,162.2062363,16837687.5,1.70482E+11,10125.01333
11.075,22718257,2.60308E+12,45263,59703.29218,0.987508671,172755.8071,154322.579,2359671.266,531440,1416.820359,230310,21609745.63,22124873.97,296484508,96.74924884,1266284116,1.301143471,1759355793,1632514.29,236609,160.3009039,16836225,1.71461E+11,10184.06167
12.275,22694466,2.60308E+12,45654,65418.73962,1.018173892,160557.7065,154157.6651,1941048.853,532630,1568.756757,225983,19151151.82,21651636.81,296247899,96.38235165,611119735.3,1.243011733,1800278170,1634257.128,232176,145.7511292,16834137.5,1.88755E+11,11212.655
11.95,22655633,2.60308E+12,38714,41384.75323,1.031008842,163590.5694,154006.9753,3128906.096,492738,1350.924051,205967,20445148.56,24143236.92,296015723,117.4302623,738104166.9,1.302241849,1924759198,1827742.522,213446,155.3448557,16832287.5,1.98044E+11,11765.71
11.6,22632358,2.60308E+12,38711,38820.90811,1.03854793,119799.4612,153844.0759,1363301.068,541699,1232.980892,188058,20315748.89,23654604.11,295802277,126.8556963,763094646,1.778601233,1380662035,1939097.767,193578,168.2546936,16830312.5,1.93966E+11,11524.77667
11.775,22596713,2.60308E+12,43761,66391.88859,1.042627297,257282.1766,153681.0239,1702177.389,514621,1422.316129,214772,20056949.54,22680092.51,295608699,106.8142298,1135179207,0.834349369,2822337880,2294141.72,220459,209.132216,16828350,1.84604E+11,10969.815
11.375,22573632,2.46059E+12,45624,50993.02969,1.11032681,189321.5447,153519.4167,1357490.317,539581,1497.341772,227471,20445148.56,23853113.88,295388240,104.0885881,772706342.8,1.159854506,2123135103,2476759.163,236580,220.8544664,16826412.5,1.88699E+11,11214.44
12.325,22538923,2.22785E+12,47828,57369.20724,1.069993955,186181.4622,153343.985,1502763.714,576212,1422.857955,241244,19491455.6,27021008.71,295151660,111.8885531,921820890.7,1.333912662,2100547354,3198498.79,250423,283.498099,16824437.5,1.89818E+11,11282.25833
7.8,22508835,2.22785E+12,43403,55403.48818,1.070344655,178482.5592,153155.6661,1539514.46,547568,1536.361582,232259,19602202.5,27086864.96,294901237,103.1137992,1305109028,1.399833136,2003121185,3209324.993,271936,285.9580052,16822237.5,1.88797E+11,11223.064
11.6,22473740,2.22785E+12,45659,62851.14074,1.081038102,199105.8877,152966.2151,1525531.996,574420,1470.431138,235003,18494733.44,24447639.64,294629301,103.1482879,1210203941,1.206449778,2099490616,3317461.286,245562,314.6125395,16820025,1.7736E+11,10544.59333
11.525,22454275,2.22785E+12,41987,30479.85531,1.077492856,154149.9356,152785.6817,1108525.071,522861,1153.058824,207718,20709671.57,29815798.36,294383739,143.0463337,436195518.9,1.739126706,1773530155,3950466.108,215622,343.3626963,16817937.5,1.93494E+11,11505.228
7.45,22421059,2.22785E+12,46473,36224.08679,1.10656859,208079.3634,152584.1906,1460377.7,559711,1351.747191,230899,19712949.41,33309440.45,294168117,142.872218,1097313787,1.275668646,2694792832,5561112.068,240611,429.4031975,16815600,2.17775E+11,12950.79333
13.075,22381078,2.22785E+12,43462,45035.72895,1.048356521,219156.1179,152387.2214,1953499.509,578406,1476.478788,231462,18273239.62,28241982.9,293927506,119.7476283,1064413370,1.16537472,2503297607,5614014.97,243619,491.4899943,16813375,1.9205E+11,11422.44
8.533333333,22349343,2.22785E+12,49989,68354.97183,1.050848873,238995.6935,152214.2425,2156724.201,744189,1788.988439,293730,19159214.88,31046750.95,293683887,103.3530706,1771113579,1.179685497,2711507318,7452780.625,309495,656.8975354,16811312.5,1.90731E+11,11345.42333
13.425,22305052,2.22785E+12,44418,77483.24201,1.062211413,252411.0863,152032.4457,2469526.194,768381,1890.844311,300012,18494733.44,29865677.22,293374392,97.25921641,2926596198,1.094483102,2806040584,7505013.859,315771,675.0966865,16809150,1.86866E+11,11116.94667
13.025,22274018,2.22785E+12,42731,68006.99636,1.05005422,270270.0133,151855.0564,2889286.589,737398,1910.220126,287366,17608758.18,28025172.32,293058621,95.48833801,2762626869,0.959737423,3021888568,6779961.276,303725,606.3824601,16807062.5,1.8792E+11,11180.99833
8.483333333,22218789,2.22785E+12,47256,48717.75947,1.059330047,201862.4741,151688.0978,1497810.168,670839,1824.153333,259372,16612036.02,32326136.17,292754896,122.1415435,758546178.6,1.181555724,2828536553,7147868.044,273623,510.1176178,16805075,2.35476E+11,14012.196
7.733333333,22187430,2.22785E+12,39943,42758.43308,1.050657768,193346.2866,151529.1982,1269172.799,592041,1516.419355,224444,17165770.55,32575141.38,292481273,143.1483801,804914641.6,1.256204351,2678410640,6806278.505,235045,491.3244648,16803200,2.32773E+11,13852.92
9.683333333,22154863,2.13425E+12,39690,42142.14044,1.014637591,180298.6834,151366.3463,1365097.695,652049,1783.456376,253379,16501289.11,33603224.7,292246228,130.462565,740504187,1.326114132,2614290042,7662641.869,265735,528.466321,16801262.5,2.43614E+11,14499.77333
8.166666667,22109365,1.93114E+12,51150,57290.26116,1.054668758,234452.1164,151215.1653,1779515.718,747265,1685.904494,286175,17087521.86,38260425.5,291980493,131.790878,1014053986,1.212459004,3261904630,8593093.923,300091,617.6357942,16799400,2.33728E+11,13912.882
